VehicleID,CustomerGrade,AuctionPurchaseDate,AuctionPurchaseAmount,AuctionSaleDate,AuctionSaleAmount,VehicleType,Year,Make,Model,Trim,BodyType,AuctionPurchaseOdometer,AutomaticTransmission,DriveType
15255,B,2014-03-26,9190,2015-11-17,1662,Car,2008,Pontiac,G6,GT,Convertible,85778,1,FWD
10941,C,2013-02-14,6940,2015-09-29,1186.88,Car,2008,Chevrolet,Impala,LS,Sedan,94797,1,FWD
33596,B,2014-06-24,7540,2015-05-21,5253,Car,2010,Nissan,Versa,1.8 S,Sedan,63525,1,FWD
4993,B,2012-05-17,8710,2015-04-14,3696,Car,2008,Nissan,Altima,2.5 S,Sedan,93077,0,NA
21736,C,2011-09-22,11040,2015-07-16,3812,Car,2007,Chrysler,300,Base,Sedan,121452,1,NA
30416,C,2012-09-11,5220,2015-10-21,2115.35,Car,2005,Ford,Taurus,SE,Sedan,65104,1,NA
27907,B,2013-07-09,6440,2015-08-06,2578.61,Car,2008,Chevrolet,Aveo,LS,Sedan,80402,1,FWD
30676,C,2013-02-04,9025,2015-06-25,1262,Car,2007,Chevrolet,Impala,LT,Sedan,78573,1,NA
11616,A,2013-11-29,8640,2015-09-25,5605,Car,2008,Toyota,Camry,LE,Sedan,77931,1,FWD
19792,B,2014-01-14,7825,2015-10-15,2301.5,Van,2008,Nissan,Quest,3.5,Mini-Van,91507,1,FWD
4239,B,2014-11-11,8500,2015-10-28,6603,SUV,2005,Toyota,Highlander,Base,SUV,88882,1,FWD
2440,C,2013-09-05,8700,2015-03-12,5770.54,Car,2008,Pontiac,G6,Base,Sedan,61861,1,FWD
34507,B,2014-02-03,8525,2015-01-07,5810,Car,2010,Ford,Fusion,SE,Sedan,97707,1,FWD
586,B,2012-05-23,7455,2015-04-01,3422.13,Car,2008,Chevrolet,Impala,LT,Sedan,114368,1,NA
31756,C,2014-08-26,8930,2015-09-17,3732,SUV,2007,Chevrolet,TrailBlazer,LS,SUV,77072,1,4WD
28542,B,2012-04-18,5240,2015-01-22,2277,Car,2004,Chevrolet,Malibu,Base,Sedan,102126,1,NA
14895,B,2013-10-29,10825,2015-11-03,3833,Car,2012,Chevrolet,Impala,LS Fleet,Sedan,41846,1,FWD
