FirstYearDelinquency,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
0,297,124,31,3,79,2,400,0
1,151,140,18,6,18,0,120,0
0,349,381,89,0,116,1,1,0
0,208,149,56,0,98,4,60,0
1,9,NA,NA,0,NA,NA,NA,0
0,203,184,51,0,51,0,1,0
1,321,182,7,0,76,4,400,0
0,157,NA,NA,NA,NA,NA,NA,0
0,200,102,95,0,95,0,1,1
0,287,110,110,0,110,0,1,0
1,324,95,95,0,95,0,1,0
0,260,122,31,0,79,4,400,0
0,245,105,NA,2,NA,NA,400,0
0,320,133,99,2,99,0,30,0
0,213,112,NA,0,NA,NA,400,0
0,251,4,NA,0,NA,NA,1,0
1,173,91,NA,0,NA,NA,400,0
0,382,124,NA,0,NA,NA,400,0
1,219,122,24,0,62,3,400,1
1,169,169,169,0,169,1,1,0
0,180,3,NA,1,NA,NA,1,0
0,227,132,NA,0,NA,NA,30,0
1,271,NA,NA,0,NA,NA,1,0
0,155,137,30,1,30,1,400,0
0,162,153,142,0,142,1,1,0
0,147,88,54,0,60,1,1,0
1,42,32,NA,0,NA,NA,400,0
1,240,119,21,1,21,0,400,0
0,237,205,117,1,117,0,400,0
1,341,109,41,0,41,0,30,0
1,200,209,33,0,95,1,400,0
1,276,225,129,0,129,1,400,0
0,291,47,36,2,36,0,400,0
0,291,89,89,0,89,0,400,0
0,78,73,NA,0,NA,NA,400,0
0,239,108,22,0,39,0,400,0
0,310,321,95,1,137,1,400,0
1,34,34,NA,1,NA,NA,120,0
0,195,151,54,0,93,2,1,0
1,308,285,141,0,141,1,1,0
1,379,227,104,2,104,0,30,0
0,147,145,NA,0,NA,NA,1,0
1,228,55,33,1,39,1,400,1
0,331,136,4,0,68,3,1,0
0,88,84,36,0,44,0,120,0
0,372,NA,NA,NA,NA,NA,NA,0
1,189,71,NA,0,NA,NA,400,0
1,138,91,68,0,68,0,400,0
0,166,86,NA,0,NA,NA,400,0
0,398,205,NA,0,NA,NA,1,0
1,268,269,73,0,108,1,1,0
0,151,128,25,0,48,5,400,0
0,169,136,NA,0,NA,NA,1,0
1,NA,NA,NA,NA,NA,NA,NA,0
1,184,83,83,0,83,0,400,0
1,98,80,52,0,66,0,400,0
0,144,68,NA,0,NA,NA,400,0
0,22,NA,NA,0,NA,NA,NA,0
0,110,36,36,0,36,1,1,0
1,342,112,74,0,93,0,400,0
1,122,34,NA,1,NA,NA,60,0
0,23,18,NA,0,NA,NA,1,0
0,94,61,53,0,53,1,1,0
1,361,302,26,0,42,0,400,0
1,47,21,21,1,21,0,1,0
0,397,145,70,2,106,0,1,0
0,185,146,25,1,73,2,30,0
